nom,efficacité,utilisation
Mangeoire en Bois de Bambouto Sacré,80,8000
Mangeoire en Ébène,30,3000
Dragofesse en Cuir de Gargrouille,5,450
Mangeoire en Bambou Magique,30,3000
Dragofesse en Cuir de Bouftou Royal,70,7000
Mangeoire en Bois de Tronknyde,4,350
Dragofesse en Cuir de Dragon Cochon,90,9000
Dragofesse en Cuir de Cochon de Lait,15,1500
Foudroyeur en Ébène,30,3000
Dragofesse en Cuir de Porkass,5,350
Dragofesse en Cuir de Sanglier des Plaines,30,3000
Dragofesse en Cuir de Minotoror,80,8000
Caresseur en Plume de Piou Vert,1,100
Caresseur en Plume de Piou Rouge,1,100
Caresseur en Plume de Piou Jaune,1,100
Caresseur en Plume de Piou Rose,1,100
Foudroyeur Classique,2,100
Caresseur en Plume de Corbac,5,500
Caresseur en Plume de Kwak de Glace,15,1500
Caresseur en Plume de Kwak de Flamme,15,1500
Caresseur en Plume de Kwak de Vent,15,1500
Caresseur en Plume de Kwak de Terre,15,1500
Foudroyeur en Bois de Kokoko,1,250
Caresseur en Plume Pointue de Kwak,70,5000
Caresseur en Plume du Maître Corbac,80,9000
Caresseur en Plume de Tofu Royal,90,9000
Baffeur en Ébène,30,3000
Foudroyeur en Bois de Bambouto Sacré,80,8000
Baffeur en Érable,5,450
Foudroyeur en Bois Ancestral,90,9000
Foudroyeur en If,15,1500
Abreuvoir en Chêne,4,270
Baffeur en Merisier,15,1500
Foudroyeur en Bois de Bambouto,5,500
Baffeur en Bombu,4,300
Baffeur en Oliviolet,4,400
Foudroyeur en Bambou Magique,30,3000
Foudroyeur en Bambou Doré,90,9000
Baffeur en Bois Ancestral,90,9000
Baffeur en Bois Envoûté,90,9000
Baffeur en Bois de Tronknyde,4,350
Baffeur en Bambou Doré,90,9000
Baffeur en Bois de Kokoko,1,250
Baffeur en Bambou Magique,30,3000
Baffeur en Bois de Bambouto,5,500
Baffeur en Bois de Bambouto Sacré,80,8000
Foudroyeur en Chêne,4,270
Foudroyeur en Frêne,10,1000
Baffeur en Frêne,10,200
Abreuvoir en Frêne,10,500
Mangeoire en Frêne,10,1000
Abreuvoir du Tournesol Affamé,70,1250
Foudroyeur de Mob l'Éponge,70,2500
Baffeur du Bouftou Royal,70,500
Baffeur de Kardorim,70,300
Dragofesse du Scarabosse Doré,70,2500
Caresseur de Boostache,70,500
Mangeoire de Batofu,70,2500
Abreuvoir de Kankreblath,50,2500
Abreuvoir du Wa Wabbit,90,3000
Baffeur du Corailleur Magistral,50,1000
Caresseur des Forgerons,50,1000
Foudroyeur du Kwakwa,50,5000
Dragofesse du Directeur Grunob,50,5000
Foudroyeur du Chafer Rōnin,70,2500
Mangeoire de la Bworkette,50,5000
Abreuvoir du Mantiscore,90,3000
Dragofesse de la Shin Larve,50,5000
Mangeoire du Kanniboul Ebil,90,6000
Foudroyeur de Blop Royal,90,6000
Baffeur de Gelée Royale,90,1200
Mangeoire en Bambou,30,3000
Foudroyeur en Bambou,30,3000
Abreuvoir en Bambou,30,1500
Caresseur en Plume de Tofu Maléfique,30,600
Dragofesse en Cuir Violet de Bwork,30,3000
Baffeur en Bambou,30,600
Baffeur de Nelween,50,2400
Caresseur du Craqueleur Légendaire,90,1200
Dragofesse de Gourlo le Terrible,90,6000
Dragofesse de Draegnerys,50,12000
Caresseur du Wa Wobot,90,1200
Baffeur de Choudini,90,1200
Caresseur du Chouque,50,2400
Abreuvoir de la Reine Nyée,50,6000
Foudroyeur de Malléfisk,50,12000
Abreuvoir de Moon,50,6000
Baffeur du Koulosse,50,2400
Mangeoire du Dragon Cochon,50,12000
Dragofesse de Dramak,90,6000
Foudroyeur du Meulou,50,12000
Mangeoire du Kharnozor,90,6000
Dragofesse en Cuir Noir,30,5000
Mangeoire en Bambou Sombre,30,5000
Caresseur en Plume de Fesse du Kido,50,1400
Foudroyeur en Bambou Sombre,30,5000
Baffeur en Bambou Sombre,30,1000
Abreuvoir en Bambou Sombre,30,2500
Foudroyeur du Maître Corbac,120,7500
Baffeur du Rat Blanc,120,1500
Dragofesse du Rat Noir,120,7500
Dragofesse de l'Abraknyde Ancestral,50,12000
Abreuvoir du Rasboul Majeur,120,3750
Foudroyeur du Pounicheur,70,15000
Abreuvoir de Damadrya,70,7500
Caresseur du Tofu Royal,70,3000
Mangeoire de Skeunk,120,7500
Mangeoire de Crocabulia,70,15000
Abreuvoir du Capitaine Ekarlatte,120,3750
Caresseur de Fraktale,120,1500
Abreuvoir du Blop Multicolore Royal,70,7500
Baffeur du Minotoror,70,3000
Caresseur du Royalmouth,120,1500
Mangeoire de la Dame des eaux,70,15000
Dragofesse de la Haute Truche,70,15000
Caresseur du Tanukouï San,70,3000
Mangeoire d'El Piko,70,15000
Foudroyeur du Chêne Mou,120,7500
Dragofesse du Tynril,70,15000
Mangeoire de Shihan et Hanshi,120,7500
Dragofesse de Founoroshi,120,7500
Baffeur du Mansot Royal,70,3000
Mangeoire en Orme,50,7000
Abreuvoir en Orme,50,3500
Foudroyeur en Orme,50,7000
Baffeur en Orme,50,1400
Caresseur en Plume du Dernier Poolay,30,1000
Dragofesse en Cuir de Sanglacier,50,7000
Abreuvoir de Sphincter Cell,70,7500
Baffeur du Phossile,120,1500
Dragofesse du Minotot,150,9000
Mangeoire d'Hell Mina,100,8000
Abreuvoir du Minotot,90,9000
Foudroyeur de Ben le Ripate,70,15000
Caresseur de l'Obsidiantre,150,1800
Abreuvoir du Kimbo,150,4500
Baffeur de Kanigroula,150,1800
Caresseur de Ush,150,1800
Foudroyeur de l'Obsidiantre,150,9000
Dragofesse du Kimbo,150,9000
Mangeoire du Shogun Tofugawa,150,9000
Caresseur de Tengu Givrefoux,150,1800
Foudroyeur de Tengu Givrefoux,150,9000
Dragofesse de XLII,90,18000
Mangeoire de Tengu Givrefoux,90,18000
Abreuvoir du Père Ver,150,4500
Dragofesse de Koumiho,150,9000
Baffeur du Korriandre,90,3600
Baffeur du Kralamoure Géant,150,1800
Mangeoire du Korriandre,150,9000
Caresseur d'Ougah,90,3600
Mangeoire du Bworker,150,9000
Baffeur d'Ougah,150,1800
Baffeur du Toxoliath,90,3600
Baffeur du Bworker,90,3600
Foudroyeur en Bambou Sacré,70,9000
Baffeur en Bambou Sacré,70,1800
Abreuvoir en Bambou Sacré,70,4500
Mangeoire en Bambou Sacré,70,9000
Caresseur en Plume de Serpiplume,70,1800
Dragofesse en Cuir de Maho Givrefoux,70,9000
Dragofesse de Grolloum,90,18000
Foudroyeur du Comte Razof,90,18000
Dragofesse du Glourséleste,90,18000
Foudroyeur du Kolosso,90,18000
Foudroyeur de Grolloum,90,18000
Mangeoire du Kolosso,90,18000
Dragofesse d'Ombre,90,18000
Abreuvoir du Glourséleste,90,9000
Caresseur de Fuji Givrefoux,90,3600
Abreuvoir de Fuji Givrefoux,150,4500
Foudroyeur du Comte Harebourg,110,25000
Caresseur de Tal Kasha,110,5000
Baffeur de Sylargh,200,2500
Foudroyeur de Klime,200,12500
Caresseur de la Reine des Voleurs,200,2500
Mangeoire du Chalœil,200,12500
Foudroyeur du Protozorreur,200,12500
Abreuvoir de Bethel Akarna,110,12500
Abreuvoir de Meno,200,6250
Baffeur de Nileza,110,5000
Foudroyeur de Dazak Martegel,110,25000
Foudroyeur de Larve de Koutoulou,110,25000
Dragofesse du roi Nidas,200,12500
Baffeur de Dantinéa,110,5000
Dragofesse de Klime,200,12500
Dragofesse de Solar,200,12500
Dragofesse d'Ilyzaelle,110,25000
Baffeur de Vortex,200,2500
Abreuvoir de Merkator,110,12500
Mangeoire d'Anerice la Shushess,110,25000
Abreuvoir de Missiz Frizz,200,6250
Dragofesse de Missiz Frizz,110,25000
Caresseur de Torkélonia,200,2500
Mangeoire de Misère,200,12500
Abreuvoir de Corruption,200,6250
Baffeur de Guerre,200,2500
Foudroyeur de Servitude,200,12500
Caresseur de Nileza,200,2500
Caresseur de Merkator,110,5000
Baffeur du Roi Imagami,110,5000
Dragofesse de la Reine Amirukam,110,25000
Abreuvoir de Kabahal,110,12500
Caresseur de l'Éternel Conflit,110,5000
Mangeoire de Sylargh,110,25000
Mangeoire du Comte Harebourg,200,12500
